City,State,Type,Counties,Population,Latitude,Longitude
Spokane,WA,City,Spokane,228989,47.657,-117.418
Santa Clarita,CA,City,Los Angeles,228673,34.38,-118.541
Baton Rouge,LA,City,East Baton Rouge,227470,30.443,-91.184
Richmond,VA,City,Richmond (city),226610,37.546,-77.453
Hialeah,FL,City,Miami-Dade,223109,25.846,-80.268
San Bernardino,CA,City,San Bernardino,222101,34.106,-117.292
Tacoma,WA,City,Pierce,219346,47.253,-122.44
Modesto,CA,City,Stanislaus,218464,37.639,-120.997
Huntsville,AL,City,Limestone;Madison,215006,34.73,-86.586
Des Moines,IA,City,Polk;Warren,214133,41.587,-93.626
Yonkers,NY,City,Westchester,211569,40.932,-73.899
Rochester,NY,City,Monroe,211328,43.156,-77.613
Moreno Valley,CA,City,Riverside,208634,33.936,-117.229
Fayetteville,NC,City,Cumberland,208501,35.053,-78.878
Fontana,CA,City,San Bernardino,208393,34.101,-117.436
Columbus,GA,City,Muscogee,206922,32.469,-84.988
Worcester,MA,City,Worcester,206518,42.263,-71.802
Port St Lucie,FL,City,St. Lucie,204851,27.276,-80.355
Little Rock,AR,City,Pulaski,202591,34.747,-92.288
Augusta,GA,Consolidated Government,Richmond,202081,33.476,-81.966
Oxnard,CA,City,Ventura,202063,34.198,-119.177
Birmingham,AL,City,Shelby;Jefferson,200733,33.514,-86.806
Montgomery,AL,City,Montgomery,200603,32.378,-86.301
Frisco,TX,City,Denton;Collin,200509,33.151,-96.825
Amarillo,TX,City,Randall;Potter,200393,35.207,-101.836
Salt Lake City,UT,City,Salt Lake,199723,40.769,-111.891
Grand Rapids,MI,City,Kent,198917,42.963,-85.668
Huntington Beach,CA,City,Orange,198711,33.659,-118
Overland Park,KS,City,Johnson,197238,38.986,-94.668
Glendale,CA,City,Los Angeles,196543,34.143,-118.258
Tallahassee,FL,City,Leon,196169,30.438,-84.282
Grand Prairie,TX,City,Tarrant;Dallas;Ellis,196100,32.745,-97.004
McKinney,TX,City,Collin,195308,33.197,-96.616
Cape Coral,FL,City,Lee,194016,26.563,-81.95
Sioux Falls,SD,City,Minnehaha;Lincoln,192517,43.547,-96.727
Peoria,AZ,City,Maricopa;Yavapai,190985,33.582,-112.238
Providence,RI,City,Providence,190934,41.824,-71.413
Vancouver,WA,City,Clark,190915,45.63,-122.677
Knoxville,TN,City,Knox,190740,35.962,-83.918
Akron,OH,City,Summit,190469,41.085,-81.517
Shreveport,LA,City,Bossier;Caddo,187593,32.514,-93.748
Mobile,AL,City,Mobile,187041,30.691,-88.046
Brownsville,TX,City,Cameron,186738,25.902,-97.498
Newport News,VA,City,Newport News,186247,36.98,-76.431
Fort Lauderdale,FL,City,Broward,182760,26.119,-80.143
Chattanooga,TN,City,Hamilton,181099,35.05,-85.31
Tempe,AZ,City,Maricopa,180587,33.415,-111.909
Aurora,IL,City,Kendall;DuPage;Kane;Will,180542,41.758,-88.315
Santa Rosa,CA,City,Sonoma,178127,38.44,-122.713
Eugene,OR,City,Lane,176654,44.05,-123.093
Elk Grove,CA,City,Sacramento,176124,38.409,-121.371
Salem,OR,City,Polk;Marion,175535,44.939,-123.032
Ontario,CA,City,San Bernardino,175265,34.063,-117.651
Cary,NC,Town,Chatham;Wake,174721,35.787,-78.783
Rancho Cucamonga,CA,City,San Bernardino,174453,34.107,-117.594
Oceanside,CA,City,San Diego,174068,33.195,-117.384
Lancaster,CA,City,Los Angeles,173516,34.697,-118.148
Garden Grove,CA,City,Orange,171949,33.775,-117.941
Pembroke Pines,FL,City,Broward,171178,26.002,-80.223
Fort Collins,CO,City,Larimer,169810,40.587,-105.077
Palmdale,CA,City,Los Angeles,169450,34.58,-118.117
Springfield,MO,City,Greene,169176,37.209,-93.292
Clarksville,TN,City,Montgomery,166722,36.528,-87.361
Salinas,CA,City,Monterey,163542,36.678,-121.655
Hayward,CA,City,Alameda,162954,37.671,-122.085
Paterson,NJ,City,Passaic,159732,40.917,-74.172
Alexandria,VA,City,Alexandria,159467,38.805,-77.047
Macon,GA,Consolidated Government,Bibb,157346,32.838,-83.628
Corona,CA,City,Riverside,157136,33.876,-117.567
Kansas City,KS,City,Wyandotte,156607,39.116,-94.627
Lakewood,CO,City,Jefferson,155984,39.705,-105.081
Springfield,MA,City,Hampden,155929,42.101,-72.589
Sunnyvale,CA,City,Santa Clara,155805,37.369,-122.037
Jackson,MS,City,Madison;Rankin;Hinds,153701,32.3,-90.186
Killeen,TX,City,Bell,153095,31.117,-97.73
Hollywood,FL,City,Broward,153067,26.011,-80.149
Murfreesboro,TN,City,Rutherford,152769,35.846,-86.392
Pasadena,TX,City,Harris,151950,29.691,-95.209
Bellevue,WA,City,King,151854,47.617,-122.202
Pomona,CA,City,Los Angeles,151713,34.059,-117.752
Escondido,CA,City,San Diego,151038,33.122,-117.081
Joliet,IL,City,Kendall;Will,150362,41.525,-88.082
Charleston,SC,City,Charleston;Berkeley,150227,32.776,-79.931
Mesquite,TX,City,Kaufman;Dallas,150108,32.767,-96.599
Naperville,IL,City,DuPage;Will,149540,41.774,-88.148
Rockford,IL,City,Winnebago,148655,42.271,-89.095
Bridgeport,CT,Town,Fairfield,148654,41.198,-73.194
Syracuse,NY,City,Onondaga,148620,43.047,-76.149
Savannah,GA,City,Chatham,147780,32.079,-81.091
Roseville,CA,City,Placer,147773,38.752,-121.288
Torrance,CA,City,Los Angeles,147067,33.836,-118.34
Fullerton,CA,City,Orange,143617,33.87,-117.924
Surprise,AZ,City,Maricopa,143148,33.63,-112.377
McAllen,TX,City,Hidalgo,142210,26.203,-98.231
Thornton,CO,City,Adams,141867,39.871,-104.972
Visalia,CA,City,Tulare,141384,36.33,-119.292
Olathe,KS,City,Johnson,141290,38.882,-94.82
Gainesville,FL,City,Alachua,141085,29.652,-82.325
West Valley City,UT,City,Salt Lake,140230,40.697,-111.996
Orange,CA,City,Orange,139911,33.788,-117.853
Denton,TX,City,Denton,139869,33.215,-97.132
Warren,MI,City,Macomb,139387,42.492,-83.028
Pasadena,CA,City,Los Angeles,138699,34.148,-118.143
Waco,TX,City,McLennan,138486,31.557,-97.132
Cedar Rapids,IA,City,Linn,137710,41.978,-91.664
Dayton,OH,City,Montgomery,137644,39.758,-84.191
Elizabeth,NJ,City,Union,137298,40.665,-74.215
Hampton,VA,City,Hampton,137148,37.026,-76.344
Columbia,SC,City,Lexington;Richland,136632,34.001,-81.034
Kent,WA,City,King,136588,47.381,-122.231
Stamford,CT,Town,Fairfield,135470,41.124,-73.567
Lakewood,NJ,Township,Ocean,135158,40.076,-74.199
Victorville,CA,City,San Bernardino,134810,34.537,-117.294
Miramar,FL,City,Broward,134721,25.987,-80.238
Coral Springs,FL,City,Broward,134394,26.273,-80.266
Sterling Heights,MI,City,Macomb,134346,42.58,-83.03
New Haven,CT,Town,New Haven,134023,41.313,-72.931
Carrollton,TX,City,Denton;Dallas;Collin,133434,32.954,-96.89
Midland,TX,City,Midland;Martin,132524,31.998,-102.074
Norman,OK,City,Cleveland,128026,35.221,-97.443
Santa Clara,CA,City,Santa Clara,127647,37.354,-121.954
Athens,GA,Unified Government,Clarke,127315,33.958,-83.375
Thousand Oaks,CA,City,Ventura,126966,34.175,-118.845
Topeka,KS,City,Shawnee,126587,39.05,-95.677
Simi Valley,CA,City,Ventura,126356,34.272,-118.779
Columbia,MO,City,Boone,126254,38.952,-92.329
Vallejo,CA,City,Solano,126090,38.101,-122.255
Fargo,ND,City,Cass,125990,46.874,-96.788
Allentown,PA,City,Lehigh,125845,40.602,-75.472
Pearland,TX,City,Brazoria;Harris;Fort Bend,125828,29.564,-95.286
Concord,CA,City,Contra Costa,125410,37.977,-122.034
Abilene,TX,City,Taylor;Jones,125182,32.449,-99.733
Arvada,CO,City,Jefferson;Adams,124402,39.802,-105.081
Berkeley,CA,City,Alameda,124321,37.871,-122.268
Ann Arbor,MI,City,Washtenaw,123851,42.281,-83.748
Independence,MO,City,Clay;Jackson,123011,39.092,-94.416
Rochester,MN,City,Olmsted,121395,44.023,-92.463
Lafayette,LA,City,Lafayette,121374,30.223,-92.02
Hartford,CT,Town,Hartford,121054,41.761,-72.689
College Station,TX,City,Brazos,120511,30.628,-96.335
Clovis,CA,City,Fresno,120124,36.825,-119.7
Fairfield,CA,City,Solano,119881,38.249,-122.04
Palm Bay,FL,City,Brevard,119760,28.035,-80.622
Richardson,TX,City,Dallas;Collin,119469,32.949,-96.732
Round Rock,TX,City,Williamson;Travis,119468,30.509,-97.679
Cambridge,MA,City,Middlesex,118403,42.376,-71.117
Meridian,ID,City,Ada,117635,43.605,-116.392
West Palm Beach,FL,City,Palm Beach,117415,26.713,-80.052
Evansville,IN,City,Vanderburgh,117298,37.97,-87.574
Clearwater,FL,City,Pinellas,117292,27.966,-82.8
Billings,MT,City,Yellowstone,117116,45.783,-108.507
West Jordan,UT,City,Salt Lake,116961,40.61,-111.939
Richmond,CA,City,Contra Costa,116448,37.936,-122.348
Westminster,CO,City,Jefferson;Adams,116317,39.835,-105.034
Manchester,NH,City,Hillsborough,115644,42.991,-71.463
Lowell,MA,City,Middlesex,115554,42.645,-71.313
Wilmington,NC,City,New Hanover,115451,34.235,-77.949
Antioch,CA,City,Contra Costa,115291,38.005,-121.806
Beaumont,TX,City,Jefferson,115282,30.082,-94.098
Provo,UT,City,Utah,115162,40.234,-111.659
North Charleston,SC,City,Charleston;Dorchester,114852,32.854,-79.974
Elgin,IL,City,Cook;Kane,114797,42.037,-88.284
Carlsbad,CA,City,San Diego,114746,33.158,-117.351
Odessa,TX,City,Midland;Ector,114428,31.848,-102.369
Waterbury,CT,Town,New Haven,114403,41.554,-73.043
Springfield,IL,City,Sangamon,114394,39.801,-89.655
League City,TX,City,Harris;Galveston,114392,29.508,-95.095
Downey,CA,City,Los Angeles,114355,33.94,-118.133
Gresham,OR,City,Multnomah,114247,45.498,-122.431
High Point,NC,City,Guilford;Forsyth;Davidson;Randolph,114059,35.957,-80.006
Broken Arrow,OK,City,Wagoner;Tulsa,113540,36.052,-95.791
Peoria,IL,City,Peoria,113150,40.693,-89.591
Lansing,MI,City,Ingham;Eaton,112644,42.734,-84.552
Lakeland,FL,City,Polk,112641,28.045,-81.956
Pompano Beach,FL,City,Broward,112046,26.232,-80.126
Costa Mesa,CA,City,Orange,111918,33.641,-117.919
Pueblo,CO,City,Pueblo,111876,38.256,-104.624
Lewisville,TX,City,Denton;Dallas,111822,33.046,-96.994
Miami Gardens,FL,City,Miami-Dade,111640,25.941,-80.245
Las Cruces,NM,City,Doña Ana,111385,32.31,-106.779
Sugar Land,TX,City,Fort Bend,111026,29.595,-95.621
Murrieta,CA,City,Riverside,110949,33.554,-117.214
Ventura,CA,City,Ventura,110763,34.281,-119.301
Everett,WA,City,Snohomish,110629,47.979,-122.202
Temecula,CA,City,Riverside,110003,33.493,-117.149
Dearborn,MI,City,Wayne,109976,42.322,-83.176
Santa Maria,CA,City,Santa Barbara,109707,34.953,-120.436
West Covina,CA,City,Los Angeles,109501,34.069,-117.938
El Monte,CA,City,Los Angeles,109450,34.073,-118.032
Greeley,CO,City,Weld,108795,40.425,-104.694
Sparks,NV,City,Washoe,108445,39.535,-119.753
Centennial,CO,City,Arapahoe,108418,39.586,-104.885
Boulder,CO,City,Boulder,108250,40.018,-105.278
Sandy Springs,GA,City,Fulton,108080,33.925,-84.379
Inglewood,CA,City,Los Angeles,107762,33.962,-118.352
Edison,NJ,Township,Middlesex,107588,40.512,-74.387
South Fulton,GA,city,Fulton,107436,33.657,-84.573
Green Bay,WI,City,Brown,107395,44.516,-88.008
Burbank,CA,City,Los Angeles,107337,34.182,-118.31
Renton,WA,City,King,106785,47.48,-122.208
Hillsboro,OR,City,Washington,106447,45.523,-122.99
El Cajon,CA,City,San Diego,106215,32.795,-116.962
Tyler,TX,City,Smith,105995,32.351,-95.301
Davie,FL,Town,Broward,105691,26.073,-80.232
San Mateo,CA,City,San Mateo,105661,37.564,-122.324
Brockton,MA,City,Plymouth,105643,42.083,-71.02
Concord,NC,City,Cabarrus,105240,35.411,-80.581
Jurupa Valley,CA,City,Riverside,105053,33.999,-117.475
Daly City,CA,City,San Mateo,104901,37.706,-122.462
Allen,TX,City,Collin,104627,33.103,-96.67
Rio Rancho,NM,City,Bernalillo;Sandoval,104046,35.241,-106.656
Rialto,CA,City,San Bernardino,104026,34.099,-117.37
Woodbridge,NJ,Township,Middlesex,103639,40.564,-74.301
South Bend,IN,City,St. Joseph,103453,41.676,-86.252
Spokane Valley,WA,City,Spokane,102976,47.657,-117.24
Norwalk,CA,City,Los Angeles,102773,33.902,-118.083
Menifee,CA,City,Riverside,102527,33.685,-117.189
Vacaville,CA,City,Solano,102386,38.357,-121.986
Wichita Falls,TX,City,Wichita,102316,33.912,-98.492
Davenport,IA,City,Scott,101724,41.522,-90.576
Quincy,MA,City,Norfolk,101636,42.252,-71.004
Chico,CA,City,Butte,101475,39.728,-121.839
Lynn,MA,City,Essex,101253,42.464,-70.951
Lees Summit,MO,City,Jackson;Cass,101108,38.912,-94.378
New Bedford,MA,City,Bristol,101079,41.635,-70.926
Federal Way,WA,City,King,101030,47.315,-122.313
Clinton,MI,Charter Township,Macomb,100513,42.591,-82.936
Edinburg,TX,City,Hidalgo,100243,26.301,-98.162
Nampa,ID,City,Canyon,100200,43.579,-116.562
Roanoke,VA,City,Roanoke,100011,37.272,-79.939
Kenosha,WI,City,Kenosha,99986,42.584,-87.823
San Angelo,TX,City,Tom Green,99893,31.464,-100.437
Hesperia,CA,City,San Bernardino,99818,34.422,-117.302
Carmel,IN,City,Hamilton,99757,39.978,-86.127
Tuscaloosa,AL,City,Tuscaloosa,99600,33.206,-87.567
Albany,NY,City,Albany,99224,42.653,-73.758
Bend,OR,City,Deschutes,99178,44.058,-121.313
Fishers,IN,City,Hamilton,98977,39.957,-86.017
Longmont,CO,City,Weld;Boulder,98885,40.167,-105.103
Canton,MI,Charter Township,Wayne,98659,42.307,-83.487
Vista,CA,City,San Diego,98381,33.202,-117.244
Orem,UT,City,Utah,98129,40.297,-111.695
Portsmouth,VA,City,Portsmouth,97915,36.835,-76.299
Beaverton,OR,City,Washington,97494,45.487,-122.804
Boca Raton,FL,City,Palm Beach,97422,26.351,-80.086
Sunrise,FL,City,Broward,97335,26.17,-80.284
Yakima,WA,City,Yakima,96968,46.602,-120.506
Sandy,UT,City,Salt Lake,96904,40.573,-111.853
Compton,CA,City,Los Angeles,95740,33.896,-118.22
Carson,CA,City,Los Angeles,95558,33.832,-118.278
Yuma,AZ,City,Yuma,95548,32.713,-114.625
Livonia,MI,City,Wayne,95535,42.376,-83.353
Toms River,NJ,Township,Ocean,95438,39.991,-74.191
St George,UT,City,Washington,95342,37.108,-113.583
Goodyear,AZ,City,Maricopa,95294,33.435,-112.409
Reading,PA,City,Berks,95112,40.335,-75.928
Lawrence,KS,City,Douglas,94934,38.971,-95.236
San Marcos,CA,City,San Diego,94833,33.141,-117.166
Erie,PA,City,Erie,94831,42.129,-80.085
Asheville,NC,City,Buncombe,94589,35.595,-82.552
Edmond,OK,City,Oklahoma,94428,35.655,-97.481
Suffolk,VA,City,Suffolk,94324,36.73,-76.583
Fall River,MA,City,Bristol,94000,41.702,-71.155
Fayetteville,AR,City,Washington,93949,36.063,-94.161
Deltona,FL,City,Volusia,93692,28.901,-81.263
Mission Viejo,CA,City,Orange,93653,33.597,-117.669
Redding,CA,City,Shasta,93611,40.586,-122.39
Santa Monica,CA,City,Los Angeles,93076,34.019,-118.491
Tracy,CA,City,San Joaquin,93000,37.74,-121.426
Roswell,GA,City,Fulton,92833,34.022,-84.359
South Gate,CA,City,Los Angeles,92726,33.955,-118.212
Hoover,AL,City,Shelby;Jefferson,92606,33.4,-86.806
Hamilton,NJ,Township,Mercer,92297,40.222,-74.686
Kirkland,WA,City,King,92175,47.675,-122.203
Plantation,FL,City,Broward,91750,26.121,-80.252
Buckeye,AZ,City,Maricopa,91502,33.371,-112.583
Bellingham,WA,City,Whatcom,91482,48.75,-122.479
Chino,CA,City,San Bernardino,91403,34.012,-117.689
Nashua,NH,City,Hillsborough,91322,42.765,-71.468
OFallon,MO,City,St. Charles,91316,38.811,-90.7
Norwalk,CT,Town,Fairfield,91184,41.13,-73.429
San Leandro,CA,City,Alameda,91008,37.723,-122.154
Westminster,CA,City,Orange,90911,33.759,-118.007
Trenton,NJ,City,Mercer,90871,40.22,-74.766
Mount Pleasant,SC,Town,Charleston,90801,32.792,-79.872
New Braunfels,TX,City,Comal;Guadalupe,90403,29.703,-98.125
Lawton,OK,City,Comanche,90381,34.605,-98.392
Clifton,NJ,City,Passaic,90296,40.867,-74.154
Bloomington,MN,City,Hennepin,89987,44.841,-93.298
Conroe,TX,City,Montgomery,89956,30.312,-95.458
Hemet,CA,City,Riverside,89833,33.748,-116.972
Avondale,AZ,City,Maricopa,89334,33.435,-112.35
Waukegan,IL,City,Lake,89321,42.36,-87.831
Palm Coast,FL,City,Flagler,89258,29.555,-81.211
Lawrence,MA,City,Essex,89143,42.708,-71.162
Fort Smith,AR,City,Sebastian,89142,35.383,-94.421
Indio,CA,City,Riverside,89137,33.719,-116.216
Newton,MA,City,Middlesex,88923,42.337,-71.208
Santa Barbara,CA,City,Santa Barbara,88665,34.421,-119.702
Champaign,IL,City,Champaign,88302,40.116,-88.243
Hawthorne,CA,City,Los Angeles,88083,33.916,-118.353
Livermore,CA,City,Alameda,87955,37.682,-121.768
Citrus Heights,CA,City,Sacramento,87583,38.707,-121.29
Greenville,NC,City,Pitt,87521,35.611,-77.373
Santa Fe,NM,City,Santa Fe,87505,35.687,-105.939
Ogden,UT,City,Weber,87321,41.221,-111.972
Whittier,CA,City,Los Angeles,87306,33.979,-118.033
Troy,MI,City,Oakland,87294,42.606,-83.15
Auburn,WA,City,King;Pierce,87256,47.307,-122.229
Deerfield Beach,FL,City,Broward,86859,26.319,-80.101
Duluth,MN,City,St. Louis,86697,46.788,-92.099
Danbury,CT,Town,Fairfield,86518,41.408,-73.468
Brooklyn Park,MN,City,Hennepin,86478,45.094,-93.356
Fort Myers,FL,City,Lee,86395,26.643,-81.87
Merced,CA,City,Merced,86333,37.302,-120.485
Lake Forest,CA,City,Orange,85858,33.647,-117.686
Medford,OR,City,Jackson,85824,42.327,-122.872
Sioux City,IA,City,Woodbury,85797,42.494,-96.403
Mission,TX,City,Hidalgo,85778,26.216,-98.326
Westland,MI,City,Wayne,85420,42.324,-83.399
Cicero,IL,Town,Cook,85268,41.846,-87.754
Newport Beach,CA,City,Orange,85239,33.619,-117.929
Lake Charles,LA,City,Calcasieu,84872,30.229,-93.217
Melbourne,FL,City,Brevard,84678,28.08,-80.604
San Ramon,CA,City,Contra Costa,84605,37.776,-121.978
Redwood City,CA,City,San Mateo,84292,37.484,-122.226
Springdale,AR,City,Benton;Washington,84161,36.185,-94.129
Buena Park,CA,City,Orange,84034,33.868,-117.998
Farmington Hills,MI,City,Oakland,83986,42.499,-83.378
Bryan,TX,City,Brazos,83980,30.674,-96.373
Kennewick,WA,City,Benton,83921,46.209,-119.117
Baytown,TX,City,Harris;Chambers,83701,29.735,-94.978
Manteca,CA,City,San Joaquin,83498,37.797,-121.216
Franklin,TN,City,Williamson,83454,35.925,-86.869
Cranston,RI,City,Providence,82934,41.779,-71.437
Miami Beach,FL,City,Miami-Dade,82890,25.791,-80.13
Alhambra,CA,City,Los Angeles,82868,34.095,-118.127
Warwick,RI,City,Kent,82823,41.699,-71.46
Lakewood,CA,City,Los Angeles,82496,33.854,-118.142
Largo,FL,City,Pinellas,82485,27.909,-82.788
Johns Creek,GA,City,Fulton,82453,34.046,-84.223
Mountain View,CA,City,Santa Clara,82376,37.39,-122.081
Temple,TX,City,Bell,82073,31.097,-97.343
Layton,UT,City,Davis,81773,41.06,-111.966
Longview,TX,City,Gregg;Harrison,81638,32.495,-94.74
Flint,MI,City,Genesee,81252,43.017,-83.691
Parma,OH,City,Cuyahoga,81146,41.405,-81.723
Somerville,MA,City,Middlesex,81045,42.388,-71.103
Plymouth,MN,City,Hennepin,81026,45.015,-93.472
Homestead,FL,City,Miami-Dade,80737,25.47,-80.477
Folsom,CA,City,Sacramento,80454,38.678,-121.176
Gastonia,NC,City,Gaston,80411,35.264,-81.184
Boynton Beach,FL,City,Palm Beach,80380,26.529,-80.064
Warner Robins,GA,City,Houston;Peach,80308,32.618,-83.633
Tustin,CA,City,Orange,80276,33.746,-117.825
Milpitas,CA,City,Santa Clara,80273,37.431,-121.907
Pleasanton,CA,City,Alameda,79871,37.663,-121.875
New Rochelle,NY,City,Westchester,79726,40.907,-73.784
Pharr,TX,City,Hidalgo,79715,26.195,-98.184
Shelby,MI,Charter Township,Macomb,79408,42.674,-83.04
Rancho Cordova,CA,City,Sacramento,79332,38.592,-121.297
Napa,CA,City,Napa,79246,38.298,-122.289
Kissimmee,FL,City,Osceola,79226,28.292,-81.408
Bellflower,CA,City,Los Angeles,79190,33.882,-118.125
Bloomington,IN,City,Monroe,79168,39.167,-86.535
Upland,CA,City,San Bernardino,79040,34.094,-117.651
Lynchburg,VA,City,Lynchburg,79009,37.415,-79.142
Schaumburg,IL,Village,Cook;DuPage,78723,42.027,-88.08
Perris,CA,City,Riverside,78700,33.782,-117.229
Bloomington,IL,City,McLean,78680,40.479,-88.994
Jonesboro,AR,City,Craighead,78576,35.842,-90.705
Chino Hills,CA,City,San Bernardino,78411,33.977,-117.72
Alameda,CA,City,Alameda,78280,37.764,-122.243
Frederick,MD,City,Frederick,78171,39.414,-77.411
Evanston,IL,City,Cook,78110,42.041,-87.69
Hammond,IN,City,Lake,77879,41.585,-87.481
Racine,WI,City,Racine,77816,42.727,-87.783
Arlington Heights,IL,Village,Lake;Cook,77676,42.083,-87.983
Cedar Park,TX,City,Williamson;Travis,77595,30.51,-97.823
South Jordan,UT,City,Salt Lake,77487,40.562,-111.929
Pasco,WA,City,Franklin,77108,46.231,-119.092
Flagstaff,AZ,City,Coconino,76831,35.198,-111.648
